iter	Passed	Remaining
549	118393	312129
550	118629	311966
551	118851	311770
552	119068	311559
553	119294	311371
554	119535	311222
555	119816	311178
556	120051	311012
557	120263	310787
558	120490	310603
559	120700	310371
560	120911	310144
561	121140	309965
562	121333	309691
563	121550	309479
564	121729	309170
565	121934	308929
566	122134	308676
567	122310	308361
568	122488	308049
569	122663	307734
570	122832	307403
571	123003	307077
572	123183	306776
573	123375	306503
574	123594	306298
575	123785	306024
576	124000	305810
577	124214	305593
578	124447	305422
579	124672	305233
580	124923	305105
581	125190	305016
582	125425	304849
583	125662	304687
584	125889	304502
585	126059	304178
586	126251	303906
587	126465	303690
588	126676	303465
589	126925	303329
590	127161	303164
591	127396	302997
592	127622	302807
593	127824	302561
594	128013	302284
595	128212	302030
596	128399	301750
597	128597	301493
598	128781	301207
599	128968	300925
600	129150	300634
601	129339	300360
602	129523	300072
603	129746	299878
604	129950	299638
605	130137	299359
606	130297	299019
607	130509	298797
608	130748	298638
609	130995	298497
610	131228	298323
611	131469	298170
612	131739	298079
613	132009	297988
614	132228	297783
615	132441	297564
616	132678	297398
617	132886	297166
618	133115	296983
619	133361	296837
620	133592	296656
621	133821	296473
622	134061	296311
623	134281	296108
624	134466	295825
625	134619	295475
626	134803	295192
627	134995	294926
628	135191	294669
629	135380	294399
630	135576	294142
631	135782	293907
632	135989	293677
633	136177	293404
634	136375	293153
635	136564	292882
636	136758	292624
637	136981	292426
638	137193	292207
639	137406	291989
640	137642	291818
641	137923	291743
642	138159	291574
643	138396	291406
644	138665	291305
645	138893	291116
646	139103	290891
647	139351	290746
648	139574	290547
649	139795	290344
650	140078	290270
651	140294	290057
652	140513	289849
653	140738	289654
654	140916	289363
655	141114	289113
656	141277	288790
657	141456	288501
658	141622	288188
659	141821	287940
660	142017	287686
661	142200	287408
662	142357	287077
663	142543	286804
664	142740	286553
665	142936	286301
666	143124	286034
667	143317	285776
668	143485	285470
669	143693	285243
670	143898	285009
671	144149	284867
672	144389	284703
673	144646	284571
674	144888	284410
675	145163	284314
676	145434	284208
677	145630	283957
678	145864	283780
679	146102	283610
680	146369	283497
681	146581	283276
682	146792	283053
683	147006	282836
684	147218	282616
685	147436	282406
686	147626	282145
687	147826	281901
688	148006	281620
689	148211	281387
690	148428	281176
691	148608	280896
692	148803	280644
693	148990	280377
694	149166	280089
695	149352	279820
696	149522	279523
697	149699	279238
698	149899	278998
699	150094	278746
700	150280	278479
701	150526	278323
702	150716	278063
703	150925	277839
704	151176	277692
705	151409	277512
706	151695	277429
707	151938	277267
708	152192	277122
709	152445	276978
710	152695	276826
711	152942	276670
712	153167	276474
713	153370	276237
714	153601	276053
715	153831	275865
716	154041	275641
717	154254	275424
718	154511	275283
719	154703	275029
